entity_id,name,label,description,doc_id,chunk_id,all_labels,source
ENT_000011,CoolingSystem_SeawaterImpellerPump,Component,冷却系统海水叶轮泵，驱动海水循环冷却；海水泵组件，负责抽取海水进行热交换冷却；冷却系统中的海水叶轮泵组件,D16维护保养手册,D16维护保养手册::chunk_11;D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25;D16维护保养手册::chunk_30;D16维护保养手册::chunk_31;D16维护保养手册::chunk_32;D16维护保养手册::chunk_33,,D16维护保养手册.md
ENT_000012,CoolingSystem_ThermalControlValve,Component,热控制阀，用于连接加热单元时控制冷却剂流向,D16维护保养手册,D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000013,CoolingSystem_Thermostat,Component,冷却系统恒温器，控制冷却剂循环路径以调节温度,D16维护保养手册,D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000014,CoolingSystem_WaterHose,Component,冷却水软管，连接泵体与系统的柔性管道,D16维护保养手册,D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000015,CoolingSystem_ZincAnode,Component,锌阳极，用于海水冷却系统的电防腐保护,D16维护保养手册,D16维护保养手册::chunk_26;D16维护保养手册::chunk_27;D16维护保养手册::chunk_28;D16维护保养手册::chunk_29,,D16维护保养手册.md
ENT_000016,EngineSystem_AirFilter,Component,发动机进气系统关键过滤组件，防止杂质进入气缸,D16维护保养手册,D16维护保养手册::chunk_11,,D16维护保养手册.md
ENT_000017,EngineSystem_BeltTensioner,Component,皮带自动张紧器，维持皮带适当张力无需手动调整,D16维护保养手册,D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000018,EngineSystem_ChargeAirCooler,Component,增压空气冷却模块，用于降低进气温度提高密度；增压空气冷却器，底部设有蒸汽排放孔,D16维护保养手册,D16维护保养手册::chunk_11;D16维护保养手册::chunk_26;D16维护保养手册::chunk_27;D16维护保养手册::chunk_28;D16维护保养手册::chunk_29,,D16维护保养手册.md
ENT_000019,EngineSystem_ChargeAirPipe,Component,连接涡轮增压器与中冷器的增压空气管路,D16维护保养手册,D16维护保养手册::chunk_17,,D16维护保养手册.md
ENT_000020,EngineSystem_DipstickTube,Component,发动机用于插入量油尺和取样软管的量油管,D16维护保养手册,D16维护保养手册::chunk_13,,D16维护保养手册.md
ENT_000021,EngineSystem_DriveBelt,Component,发动机附件传动皮带，驱动水泵发电机等附件；发动机传动皮带，驱动附件如发电机和水泵,D16维护保养手册,D16维护保养手册::chunk_11;D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000022,EngineSystem_EngineControlModule,Component,发动机系统内的核心控制模块，负责电子控制,D16维护保养手册,D16维护保养手册::chunk_1,,D16维护保养手册.md
ENT_000023,EngineSystem_ExhaustPipe,Component,发动机系统中引导废气排出的管道组件,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000024,EngineSystem_InjectionPump,Component,发动机系统中负责高压燃油喷射的泵组模块,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000025,EngineSystem_Injector,Component,发动机系统中执行燃油喷射的核心部件,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000026,EngineSystem_IntakePipe,Component,发动机系统中引导进气进入的管道组件,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000027,EngineSystem_OilDrainHose,Component,特定发动机型号用于排油取样的机油排油软管,D16维护保养手册,D16维护保养手册::chunk_13,,D16维护保养手册.md
ENT_000028,EngineSystem_OilFillerCap,Component,发动机机油加注口盖，密封机油加注通道,D16维护保养手册,D16维护保养手册::chunk_11,,D16维护保养手册.md
ENT_000029,EngineSystem_OilFilter,Component,发动机润滑系统核心过滤单元，去除机油杂质,D16维护保养手册,D16维护保养手册::chunk_11,,D16维护保养手册.md
ENT_000030,EngineSystem_Turbocharger,Component,发动机核心增压部件，用于提高进气效率和功率输出；发动机进气系统中提供增压压力的涡轮组件,D16维护保养手册,D16维护保养手册::chunk_11;D16维护保养手册::chunk_17,,D16维护保养手册.md
ENT_000031,ExhaustSystem_AdBlueTank,Component,SCR 系统中储存 AdBlue/DEF 尿素的储罐,D16维护保养手册,D16维护保养手册::chunk_17,,D16维护保养手册.md
ENT_000032,ExhaustSystem_AftertreatmentSystem,Component,排气系统中用于后处理的核心封装模块,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000033,ExhaustSystem_DPF,Component,排气系统中用于捕捉颗粒物的柴油颗粒过滤器,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000034,ExhaustSystem_SCRPumpUnit,Component,SCR 系统中用于输送尿素的泵装置模块,D16维护保养手册,D16维护保养手册::chunk_17,,D16维护保养手册.md
ENT_000035,ExhaustSystem_SCRPumpUnit_Filter,Component,SCR 泵单元内的可更换过滤器组件,D16维护保养手册,D16维护保养手册::chunk_18;D16维护保养手册::chunk_19;D16维护保养手册::chunk_20;D16维护保养手册::chunk_21,,D16维护保养手册.md
ENT_000036,ExhaustSystem_TurbochargerHP,Component,排气系统中高压阶段的涡轮增压器模块,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000037,ExhaustSystem_TurbochargerLP,Component,排气系统中低压阶段的涡轮增压器模块,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000038,FuelSystem_FilterElement,Component,燃油过滤器内部可更换的核心滤芯模块,D16维护保养手册,D16维护保养手册::chunk_17,,D16维护保养手册.md
ENT_000039,FuelSystem_FuelFilter,Component,燃油系统关键过滤组件，确保燃油清洁度；燃油系统中用于过滤杂质的核心组件；燃油过滤器，长期存储后需更换防止微生物阻塞,D16维护保养手册,D16维护保养手册::chunk_11;D16维护保养手册::chunk_17;D16维护保养手册::chunk_26;D16维护保养手册::chunk_27;D16维护保养手册::chunk_28;D16维护保养手册::chunk_29,,D16维护保养手册.md
ENT_000040,FuelSystem_FuelHighPressurePipe,Component,燃油系统内的高压油管，输送高压燃油,D16维护保养手册,D16维护保养手册::chunk_1,,D16维护保养手册.md
ENT_000041,FuelSystem_FuelNozzle,Component,燃油系统内的燃油喷嘴，负责燃油喷射,D16维护保养手册,D16维护保养手册::chunk_1,,D16维护保养手册.md
ENT_000042,FuelSystem_FuelPump,Component,燃油系统中负责输送燃油的核心泵送模块,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000043,FuelSystem_HandPump,Component,燃油系统手动输油泵，用于排除空气或预供油,D16维护保养手册,D16维护保养手册::chunk_11,,D16维护保养手册.md
ENT_000044,FuelSystem_PreFilter,Component,燃油系统中可选安装的初级过滤装置，位于细过滤器之前,D16维护保养手册,D16维护保养手册::chunk_14;D16维护保养手册::chunk_15;D16维护保养手册::chunk_16,,D16维护保养手册.md
ENT_000045,FuelSystem_UnitInjector,Component,燃油系统中独立封装的单体喷油器模块,D16维护保养手册,D16维护保养手册::chunk_2;D16维护保养手册::chunk_3;D16维护保养手册::chunk_4;D16维护保养手册::chunk_5,,D16维护保养手册.md
ENT_000046,FuelSystem_VentilationLine,Component,燃油系统通风管路，平衡油箱压力防止气阻,D16维护保养手册,D16维护保养手册::chunk_11,,D16维护保养手册.md
ENT_000047,MaintenanceSystem_OilAnalysisKit_VacuumPump,Component,机油分析套件中的核心真空抽吸模块，用于抽取油样,D16维护保养手册,D16维护保养手册::chunk_14;D16维护保养手册::chunk_15;D16维护保养手册::chunk_16,,D16维护保养手册.md
ENT_000048,沃尔沃遍达发动机系统_AdBlue 泵装置,Component,SCR 系统中用于输送 AdBlue 溶液的泵组模块,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000049,沃尔沃遍达发动机系统_AdBlue 空气过滤器,Component,过滤 AdBlue 储罐空气的专用过滤器,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000050,沃尔沃遍达发动机系统_IPS 驱动装置_主动防腐蚀系统,Component,沃尔沃遍达主动防腐蚀系统 ACP 用于防止电偶腐蚀,D8维护保养手册,D8维护保养手册::chunk_17,,D8维护保养手册.md
ENT_000051,沃尔沃遍达发动机系统_IPS 驱动装置_夹紧环,Component,IPS 驱动装置用于固定密封的环形组件,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000052,沃尔沃遍达发动机系统_IPS 驱动装置_排气密封件,Component,排气板上的关键密封部件，损坏需更换,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000053,沃尔沃遍达发动机系统_IPS 驱动装置_排气板,Component,IPS 驱动装置上的排气组件，包含白色塑料部分及密封件,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000054,沃尔沃遍达发动机系统_IPS 驱动装置_机油过滤器,Component,IPS 驱动装置传动油路中的过滤组件,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000055,沃尔沃遍达发动机系统_IPS 驱动装置_油质量传感器,Component,IPS 驱动装置内监测机油质量的传感器模块,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000056,沃尔沃遍达发动机系统_IPS 驱动装置_螺旋桨轴密封件,Component,IPS 驱动装置螺旋桨轴处的关键密封部件,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000057,沃尔沃遍达发动机系统_IPS 驱动装置_转向密封件,Component,IPS 驱动装置转向机构处的关键密封部件,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000058,沃尔沃遍达发动机系统_IPS 驱动装置_量油尺,Component,IPS 驱动装置专用的油位检查尺,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000059,沃尔沃遍达发动机系统_IPS 驱动装置_阳极,Component,IPS 驱动装置上的防腐蚀牺牲阳极,D8维护保养手册,D8维护保养手册::chunk_16,,D8维护保养手册.md
ENT_000060,沃尔沃遍达发动机系统_交流发电机,Component,将机械能转换为电能的关键发电部件；发动机核心充电组件，清洁时需防水保护,D8维护保养手册,D8维护保养手册::chunk_0;D8维护保养手册::chunk_1;D8维护保养手册::chunk_2;D8维护保养手册::chunk_24;D8维护保养手册::chunk_25;D8维护保养手册::chunk_26;D8维护保养手册::chunk_27;D8维护保养手册::chunk_3,,D8维护保养手册.md
ENT_000061,沃尔沃遍达发动机系统_传动带,Component,驱动冷却泵等附件的皮带传动部件,D8维护保养手册,D8维护保养手册::chunk_15,,D8维护保养手册.md
ENT_000062,沃尔沃遍达发动机系统_冷却剂泵,Component,冷却系统内部循环驱动模块,D8维护保养手册,D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
ENT_000063,沃尔沃遍达发动机系统_冷却水旋塞,Component,冷却系统海水进出口控制阀门，需检查开关状态,D8维护保养手册,D8维护保养手册::chunk_24;D8维护保养手册::chunk_25;D8维护保养手册::chunk_26;D8维护保养手册::chunk_27,,D8维护保养手册.md
ENT_000064,沃尔沃遍达发动机系统_冷却液冷却器,Component,冷却系统部件，检查冷却液泄漏的重点区域,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000065,沃尔沃遍达发动机系统_单体喷油器,Component,燃油系统核心喷射控制模块,D8维护保养手册,D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
ENT_000066,沃尔沃遍达发动机系统_压缩机,Component,发动机附属设备，需检查油位且禁止过度加满,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000067,沃尔沃遍达发动机系统_发动机大修套件,Component,发动机大修所需的标准化零部件包,D8维护保养手册,D8维护保养手册::chunk_6,,D8维护保养手册.md
ENT_000068,沃尔沃遍达发动机系统_发动机控制模块,Component,执行发动机运行逻辑运算及指令下发的核心电子单板,D8维护保养手册,D8维护保养手册::chunk_0;D8维护保养手册::chunk_1;D8维护保养手册::chunk_2;D8维护保养手册::chunk_3,,D8维护保养手册.md
ENT_000069,沃尔沃遍达发动机系统_增压空气冷却器,Component,冷却系统部件，检查冷却液泄漏的重点区域；用于冷却增压空气的热交换部件，装有牺牲阳极,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12;D8维护保养手册::chunk_15,,D8维护保养手册.md
ENT_000070,沃尔沃遍达发动机系统_排气软管,Component,连接发动机与排气出口的关键软管组件,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000071,沃尔沃遍达发动机系统_排气风门,Component,IPS 装置上用于控制排气通断的风门组件,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000072,沃尔沃遍达发动机系统_曲轴箱分离器,Component,发动机本体部件，通常不需要维护但需关注阀间隙,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000073,沃尔沃遍达发动机系统_曲轴箱通风过滤器,Component,曲轴箱通风系统组件，废弃后需更换新件,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000074,沃尔沃遍达发动机系统_机油冷却器,Component,冷却系统部件，检查机油泄漏的重点区域,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000075,沃尔沃遍达发动机系统_机油分析套件,Component,机油分析专用工具套件,D8维护保养手册,D8维护保养手册::chunk_13,,D8维护保养手册.md
ENT_000076,沃尔沃遍达发动机系统_机油滤清器,Component,发动机本体润滑系统中的关键过滤组件，检查泄漏点；润滑系统机油过滤组件；传动装置润滑系统中的核心过滤部件,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12;D8维护保养手册::chunk_13;D8维护保养手册::chunk_18;D8维护保养手册::chunk_19;D8维护保养手册::chunk_20,,D8维护保养手册.md
ENT_000077,沃尔沃遍达发动机系统_柴油颗粒过滤器,Component,排气系统关键后处理过滤模块,D8维护保养手册,D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
ENT_000078,沃尔沃遍达发动机系统_油底壳,Component,发动机本体部件，检查机油泄漏的关键位置,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000079,沃尔沃遍达发动机系统_海水泵,Component,冷却系统外部热交换驱动模块；原始水系统循环泵，内部含有叶轮；冷却系统中用于泵送海水的核心组件,D8维护保养手册,D8维护保养手册::chunk_15;D8维护保养手册::chunk_21;D8维护保养手册::chunk_22;D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
ENT_000080,沃尔沃遍达发动机系统_海水系统阳极,Component,海水冷却系统防腐蚀牺牲阳极，需定期更换,D8维护保养手册,D8维护保养手册::chunk_24;D8维护保养手册::chunk_25;D8维护保养手册::chunk_26;D8维护保养手册::chunk_27,,D8维护保养手册.md
ENT_000081,沃尔沃遍达发动机系统_海水过滤器,Component,安装在发动机上的海水入口过滤装置，防止污染物进入,D8维护保养手册,D8维护保养手册::chunk_15,,D8维护保养手册.md
ENT_000082,沃尔沃遍达发动机系统_消音器,Component,排气系统噪声控制模块；排气系统消音组件,D8维护保养手册,D8维护保养手册::chunk_13;D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
ENT_000083,沃尔沃遍达发动机系统_涡轮增压器,Component,利用废气驱动压缩机涡轮以增加进气压力的核心模块；发动机进气增压核心组件,D8维护保养手册,D8维护保养手册::chunk_0;D8维护保养手册::chunk_1;D8维护保养手册::chunk_14;D8维护保养手册::chunk_2;D8维护保养手册::chunk_3,,D8维护保养手册.md
ENT_000084,沃尔沃遍达发动机系统_热交换器,Component,冷却系统中的热量交换核心部件，装有牺牲阳极,D8维护保养手册,D8维护保养手册::chunk_15,,D8维护保养手册.md
ENT_000085,沃尔沃遍达发动机系统_燃油泵,Component,燃油系统核心供油模块,D8维护保养手册,D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
ENT_000086,沃尔沃遍达发动机系统_燃油过滤器,Component,燃油系统中用于过滤杂质的核心部件，需定期检查泄漏,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000087,沃尔沃遍达发动机系统_燃油预过滤器,Component,安装在燃油系统前端的可选预过滤组件,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000088,沃尔沃遍达发动机系统_电池管理系统,Component,管理电池组状态及充放电逻辑的核心控制模块,D8维护保养手册,D8维护保养手册::chunk_0;D8维护保养手册::chunk_1;D8维护保养手册::chunk_2;D8维护保养手册::chunk_3,,D8维护保养手册.md
ENT_000089,沃尔沃遍达发动机系统_真空泵,Component,用于机油分析取样的真空泵组件,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000090,沃尔沃遍达发动机系统_空气过滤器,Component,进气系统组件，需定期更换而非清洁,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12,,D8维护保养手册.md
ENT_000091,沃尔沃遍达发动机系统_组合罐装置,Component,SCR 系统中集成储罐与泵装置的组合单元,D8维护保养手册,D8维护保养手册::chunk_14,,D8维护保养手册.md
ENT_000092,沃尔沃遍达发动机系统_缸盖,Component,发动机顶部核心密封与燃烧组件,D8维护保养手册,D8维护保养手册::chunk_6,,D8维护保养手册.md
ENT_000093,沃尔沃遍达发动机系统_缸盖大修套件,Component,缸盖专项维修所需的零部件包,D8维护保养手册,D8维护保养手册::chunk_6,,D8维护保养手册.md
ENT_000094,沃尔沃遍达发动机系统_膨胀箱,Component,冷却系统组件，检查冷却液泄漏及液位；冷却系统液位观察与补偿容器,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12;D8维护保养手册::chunk_15,,D8维护保养手册.md
ENT_000095,沃尔沃遍达发动机系统_螺旋桨轴密封件,Component,螺旋桨轴填料函中的关键密封组件,D8维护保养手册,D8维护保养手册::chunk_18;D8维护保养手册::chunk_19;D8维护保养手册::chunk_20,,D8维护保养手册.md
ENT_000096,沃尔沃遍达发动机系统_起动机,Component,发动机电气起动核心模块；发动机启动核心部件，清洁时需遮盖防护,D8维护保养手册,D8维护保养手册::chunk_24;D8维护保养手册::chunk_25;D8维护保养手册::chunk_26;D8维护保养手册::chunk_27;D8维护保养手册::chunk_6,,D8维护保养手册.md
ENT_000097,沃尔沃遍达发动机系统_量油尺,Component,发动机本体附件，用于检查压缩机或发动机油位；用于检查机油液位的测量组件,D8维护保养手册,D8维护保养手册::chunk_11;D8维护保养手册::chunk_12;D8维护保养手册::chunk_18;D8维护保养手册::chunk_19;D8维护保养手册::chunk_20,,D8维护保养手册.md
ENT_000098,船舶发动机系统_交流发电机,Component,电气系统内负责发电的核心设备；发动机运行时提供电力的发电设备,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_25;D8操作手册::chunk_3;D8操作手册::chunk_4,,D8操作手册.md
ENT_000099,船舶发动机系统_传动皮带,Component,发动机机械传动关键部件，需定期检查张力与状况,D8操作手册,D8操作手册::chunk_21,,D8操作手册.md
ENT_000100,船舶发动机系统_传动皮带张紧装置,Component,自动调节皮带张力的机械组件，无需手动调整,D8操作手册,D8操作手册::chunk_21,,D8操作手册.md
ENT_000101,船舶发动机系统_传动系统,Component,包含倒档齿轮箱的动力传输子系统,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000102,船舶发动机系统_传动系统_倒档齿轮箱,Component,负责船舶倒档功能的齿轮传动装置,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000103,船舶发动机系统_冷却系统,Component,发动机机械系统下属的循环冷却子系统；发动机温度控制与冷却循环子系统,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_22;D8操作手册::chunk_3;D8操作手册::chunk_4,,D8操作手册.md
ENT_000104,船舶发动机系统_发动机控制模块,Component,电气系统内负责发动机逻辑控制的核心单板,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_3;D8操作手册::chunk_4,,D8操作手册.md
ENT_000105,船舶发动机系统_发动机计算机,Component,发动机内部记录详细使用信息和系统数据的计算机模块,D8操作手册,D8操作手册::chunk_10;D8操作手册::chunk_8;D8操作手册::chunk_9,,D8操作手册.md
ENT_000106,船舶发动机系统_叶轮,Component,冷却系统中的关键泵送模块，属于备件清单核心项,D8操作手册,D8操作手册::chunk_7,,D8操作手册.md
ENT_000107,船舶发动机系统_排气管,Component,机械系统内的高温表面部件，需防止烫伤,D8操作手册,D8操作手册::chunk_0,,D8操作手册.md
ENT_000108,船舶发动机系统_沃尔沃遍达 EVC 系统_低速功能模块,Component,用于配液压传动装置发动机降低速度的控制功能模块,D8操作手册,D8操作手册::chunk_14,,D8操作手册.md
ENT_000109,船舶发动机系统_沃尔沃遍达 EVC 系统_冷却剂温度计,Component,显示发动机冷却剂温度的监测仪表,D8操作手册,D8操作手册::chunk_11,,D8操作手册.md
ENT_000110,船舶发动机系统_沃尔沃遍达 EVC 系统_动力升降辅助装置,Component,根据发动机转速自动调整纵倾角的功能模块,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000111,船舶发动机系统_沃尔沃遍达 EVC 系统_动态定位系统,Component,通过 GPS 信号帮助固定所选位置和罗盘航行的功能模块,D8操作手册,D8操作手册::chunk_14,,D8操作手册.md
ENT_000112,船舶发动机系统_沃尔沃遍达 EVC 系统_挂档齿轮箱,Component,与驱动装置连接的传动部件，需置于空档状态,D8操作手册,D8操作手册::chunk_17,,D8操作手册.md
ENT_000113,船舶发动机系统_沃尔沃遍达 EVC 系统_摩擦制动器,Component,控制装置内部用于调整操纵杆移动阻力的部件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000114,船舶发动机系统_沃尔沃遍达 EVC 系统_操纵杆转向功能模块,Component,EVC 系统内实现操纵杆辅助转向逻辑的软件功能组件；EVC 系统内实现操纵杆控制转向节气门和换档的综合功能组件,D8操作手册,D8操作手册::chunk_13,,D8操作手册.md
ENT_000115,船舶发动机系统_沃尔沃遍达 EVC 系统_电压表,Component,显示交流发电机充电电流及电池电压的仪表；显示发动机机油压力的监测仪表,D8操作手册,D8操作手册::chunk_11,,D8操作手册.md
ENT_000116,船舶发动机系统_沃尔沃遍达 EVC 系统_电池传感器,Component,用于监测电池状态并显示在电池视图中的传感器,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000117,船舶发动机系统_沃尔沃遍达 EVC 系统_自动操舵仪,Component,负责自动锁定航向和控制船舶方向的内部核心模块,D8操作手册,D8操作手册::chunk_13,,D8操作手册.md
ENT_000118,船舶发动机系统_沃尔沃遍达 EVC 系统_行程计算机,Component,计算燃油消耗及行程距离的功能模块,D8操作手册,D8操作手册::chunk_11,,D8操作手册.md
ENT_000119,船舶发动机系统_沃尔沃遍达 EVC 系统_警告管理程序,Component,存储故障消息并提供校正措施建议的软件模块,D8操作手册,D8操作手册::chunk_11,,D8操作手册.md
ENT_000120,船舶发动机系统_沃尔沃遍达 EVC 系统_设置菜单,Component,用于管理设置和校准的软件界面模块,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000121,船舶发动机系统_沃尔沃遍达 EVC 系统_起动马达,Component,发动机起动系统的核心执行部件，受 EVC 系统控制,D8操作手册,D8操作手册::chunk_17,,D8操作手册.md
ENT_000122,船舶发动机系统_沃尔沃遍达 EVC 系统_转速表,Component,显示发动机转速及发动机时数的仪表组件,D8操作手册,D8操作手册::chunk_11,,D8操作手册.md
ENT_000123,船舶发动机系统_沃尔沃遍达 EVC 系统_驱动装置,Component,受系统控制的船舶推进驱动单元,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
